StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,edad,genero,ocup,edu,imple,viable,perti,BB2_1,BB2_2,BB2_3,BB2_4,BB3,vot21,vot22,vot26_a36,novot,difvoto,intvot,reprevot,vot26_check2,cpc_cond,cpc_act1,cpc_act2,check_com,lima,satisz,confi,desemmu,Q46,Q47_1,Q47_2,seg,confianza_1,confianza_2,confianza_3,confianza_4,Q26_1,BY_DO,BB1_DO,TT2_DO,EM1_DO,AC1_DO,MAN1_DO
20/06/25 18:09,20/06/25 18:21,IP Address,190.233.24.195,100,694,True,20/06/25 18:21,R_3MinH24x5eK1Ioy,,,,,-13.0778,-76.3874,anonymous,ES,0.899999976,Acepto participar de la encuesta,22,Mujer,Estudia,Universitaria,5,3,5,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Homicidio,No,No,No,,5. Muy difícil,4. Interesado/a,1. Nada representado,2. Algo cargada,7,Totalmente de acuerdo 10,Lo apoyo totalmente 10,Policías en un operativo,Sí,Satisfecho,Poca confianza,Poco capacitados,3,No,No,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,3,7,by_t,bb_c,Q18,em_t,ac_t1,man_t
20/06/25 18:21,20/06/25 18:29,IP Address,179.6.3.182,100,476,True,20/06/25 18:29,R_1LX2O5VzPgGfbYs,,,,,-12.046,-77.0305,anonymous,ES,0.899999976,Acepto participar de la encuesta,24,Hombre,Trabaja,Universitaria,4,4,3,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,,,,,,,,,,,,,,,,,,,,,,,,,,,by_c,bb_t,Q19,em_c,ac_t2,man_t
20/06/25 18:37,20/06/25 18:42,IP Address,200.215.228.182,100,263,True,20/06/25 18:42,R_3CKnBb1LUAPTez5,,,,,-12.046,-77.0305,anonymous,ES,0.300000012,Acepto participar de la encuesta,22,Hombre,Estudia,Secundaria,3,5,7. Muy pertinente,En desacuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Homicidio,Sí,Sí,Sí,No confía en los partidos políticos,1. Muy fácil,2. Poco interesado/a,1. Nada representado,2. Algo cargada,2,5,3,Militares del ejército,Sí,Insatisfecho,Ni mucha ni poca confianza,Algo capacitados,2,Sí,Sí,Poco seguro/a,1. No confía nada,3,1. No confía nada,2,4,by_c,bb_t,Q19,em_t,ac_t2,man_t
20/06/25 18:32,20/06/25 18:43,IP Address,179.6.3.182,100,692,True,20/06/25 18:43,R_6q3RC4nGYQNshux,,,,,-12.046,-77.0305,anonymous,ES,0.699999988,Acepto participar de la encuesta,21,Hombre,Estudia,Universitaria,3,5,6,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,,No,No,No,,4. Difícil,2. Poco interesado/a,2. Poco representado,2. Algo cargada,8,7,7,Policías en un operativo,Sí,Satisfecho,Ni mucha ni poca confianza,Poco capacitados,5. Muy de acuerdo,No,No,Poco seguro/a,3,2,2,3,8,by_t,bb_c,Q19,em_t,ac_t2,man_c
20/06/25 18:38,20/06/25 18:47,IP Address,132.191.2.90,100,568,True,20/06/25 18:47,R_7N20fiywBZ3ZRYl,,,,,-12.046,-77.0305,anonymous,ES,0.699999988,Acepto participar de la encuesta,,Hombre,Trabaja,Posgrado,4,5,5,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Homicidio,No,No,No,,1. Muy fácil,4. Interesado/a,1. Nada representado,5. Muy simple,6,Totalmente en desacuerdo 0,No lo apoyo en absoluto 0,No se mostró ninguna foto,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Nada capacitados,2,Sí,Sí,Algo seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,6,by_c,bb_t,Q18,em_c,ac_t2,man_c
20/06/25 18:45,20/06/25 18:50,IP Address,179.6.5.115,100,330,True,20/06/25 18:50,R_5Oje6dOoL3Ob3gb,,,,,-12.046,-77.0305,anonymous,ES,0.899999976,Acepto participar de la encuesta,,Hombre,Trabaja,Universitaria,5,5,5,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Homicidio,No,No,No,,4. Difícil,4. Interesado/a,2. Poco representado,4. Algo simple,5,6,6,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Ni mucha ni poca confianza,Poco capacitados,2,Sí,Sí,Poco seguro/a,4,4,4,4,6,by_c,bb_c,Q18,em_t,ac_t1,man_c
20/06/25 18:15,20/06/25 19:06,IP Address,181.65.25.194,100,3032,True,20/06/25 19:06,R_6DzDI5HDJyHg13A,,,,,-12.046,-77.0305,anonymous,ES,1,Acepto participar de la encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. Muy de acuerdo,Sí,Sí,,,,,,,by_c,bb_t,Q18,em_t,ac_t2,man_t
20/06/25 18:41,20/06/25 19:06,IP Address,45.231.80.51,100,1480,True,20/06/25 19:06,R_6CV44HjN3im3f4l,,,,,-12.046,-77.0305,anonymous,ES,0.800000012,Acepto participar de la encuesta,21,Mujer,Trabaja y estudia,Universitaria,4,5,6,Totalmente en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Homicidio,No,Sí,Sí,Otra razón,3. Ni fácil ni difícil,4. Interesado/a,2. Poco representado,2. Algo cargada,8,4,9,Policías en un operativo,Sí,Satisfecho,Poca confianza,Poco capacitados,4,No,No,Nada seguro/a,1. No confía nada,3,1. No confía nada,4,5,by_t,bb_t,Q19,em_t,ac_t2,man_t
20/06/25 18:53,20/06/25 19:07,IP Address,181.176.121.64,100,824,True,20/06/25 19:07,R_1S3n17A6lECxLR5,,,,,-12.046,-77.0305,anonymous,ES,0.899999976,Acepto participar de la encuesta,26,Mujer,Trabaja,Universitaria,4,4,4,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Homicidio,Sí,Sí,No,,4. Difícil,4. Interesado/a,3. Ni representado ni no representado,1. Muy cargada,10. Muy probable,Totalmente de acuerdo 10,Lo apoyo totalmente 10,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Poco capacitados,3,No,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,,by_t,bb_t,Q18,em_t,ac_t2,man_c
20/06/25 18:42,20/06/25 19:12,IP Address,45.231.80.106,100,1790,True,20/06/25 19:12,R_5VDY87jeyXxQ1XE,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,21,Mujer,Trabaja y estudia,Universitaria,5,5,7. Muy pertinente,De acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Homicidio,No,No,No,,4. Difícil,4. Interesado/a,1. Nada representado,1. Muy cargada,8,8,8,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Poco capacitados,2,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,5,,by_t,bb_c,Q20,em_t,ac_t2,man_c
20/06/25 19:07,20/06/25 19:12,IP Address,179.6.28.163,100,298,True,20/06/25 19:12,R_1C9pJ5oLfh453dD,,,,,-12.046,-77.0305,anonymous,ES,0.899999976,Acepto participar de la encuesta,23,Mujer,Trabaja y estudia,Universitaria,3,2,4,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Homicidio,Sí,Sí,Sí,No confía en los partidos políticos,3. Ni fácil ni difícil,1. Nada interesado/a,1. Nada representado,3. Ni cargada ni simple,5,8,7,No se mostró ninguna foto,No,,,,4,No,No,Poco seguro/a,2,2,1. No confía nada,3,,by_t,bb_t,Q19,em_c,ac_t2,man_c
20/06/25 18:56,20/06/25 19:12,IP Address,45.231.80.106,100,960,True,20/06/25 19:12,R_7NzidweCcKa4jPb,,,,,-12.046,-77.0305,anonymous,ES,0.300000012,Acepto participar de la encuesta,23,Mujer,Trabaja y estudia,Universitaria,5,6,6,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Homicidio,Sí,Sí,No,,1. Muy fácil,4. Interesado/a,1. Nada representado,2. Algo cargada,4,2,1,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Poco capacitados,2,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,5,by_t,bb_t,Q20,em_t,ac_t1,man_t
20/06/25 19:03,20/06/25 19:12,IP Address,132.251.2.9,100,575,True,20/06/25 19:12,R_7EiNGgHSz6BcXG6,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,21,Mujer,Estudia,Universitaria,3,4,7. Muy pertinente,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Homicidio,No,Sí,Sí,No me siento representado por ninguno,2. Fácil,3. Ni interesado/a ni desinteresado/a,1. Nada representado,1. Muy cargada,10. Muy probable,3,6,No se mostró ninguna foto,No,,,,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,2,1. No confía nada,1. No confía nada,3,by_c,bb_t,Q20,em_c,ac_t2,man_t
20/06/25 18:42,20/06/25 19:13,IP Address,45.231.80.106,100,1868,True,20/06/25 19:13,R_1dg3QpCygNJhgXP,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,23,Hombre,Trabaja y estudia,Universitaria,4,4,4,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Homicidio,Sí,Sí,Sí,Otra razón,5. Muy difícil,3. Ni interesado/a ni desinteresado/a,1. Nada representado,2. Algo cargada,5,5,5,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Mucha confianza,Muy capacitados,3,Sí,Sí,Poco seguro/a,4,3,1. No confía nada,4,6,by_t,bb_t,Q19,em_t,ac_t1,man_t
20/06/25 19:11,20/06/25 19:23,IP Address,38.25.25.241,100,707,True,20/06/25 19:23,R_3jP3HfbgZeOuBVK,,,,,-12.046,-77.0305,anonymous,ES,0.300000012,Acepto participar de la encuesta,20,Hombre,Estudia,Universitaria,3,5,6,Totalmente en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Homicidio,No,Sí,Sí,No me siento representado por ninguno,4. Difícil,5. Muy interesado/a,1. Nada representado,1. Muy cargada,4,6,5,Autoridades del gobierno,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Nada capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,4,6,by_c,bb_t,Q20,em_c,ac_t2,man_c
20/06/25 19:12,20/06/25 19:27,IP Address,209.45.55.49,100,880,True,20/06/25 19:27,R_7w9MVnpZaC4nKFz,,,,,-12.046,-77.0305,anonymous,ES,0.600000024,Acepto participar de la encuesta,25,Hombre,Trabaja,Universitaria,2,2,2,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Homicidio,Sí,Sí,Sí,No me siento representado por ninguno,2. Fácil,4. Interesado/a,1. Nada representado,2. Algo cargada,2,2,2,No se mostró ninguna foto,Sí,Insatisfecho,Poca confianza,Poco capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,2,2,1. No confía nada,2,10,by_t,bb_t,Q18,em_c,ac_t2,man_t
20/06/25 19:30,20/06/25 19:38,IP Address,38.25.51.37,100,511,True,20/06/25 19:38,R_6LnS6ZwPPn5ayFf,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,33,Mujer,Trabaja y estudia,Técnica,1. Nada probable,3,7. Muy pertinente,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Homicidio,No,No,No,,5. Muy difícil,2. Poco interesado/a,1. Nada representado,1. Muy cargada,0. Nada probable,Totalmente de acuerdo 10,5,No se mostró ninguna foto,Sí,Insatisfecho,Poca confianza,Nada capacitados,1. Muy en desacuerdo,Sí,Sí,Nada seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,6,by_c,bb_t,Q18,em_c,ac_t1,man_t
20/06/25 19:31,20/06/25 19:42,IP Address,45.231.80.107,100,686,True,20/06/25 19:42,R_3Oa0QcJngfpsPmx,,,,,-12.046,-77.0305,anonymous,ES,0.200000003,Acepto participar de la encuesta,20,Mujer,Estudia,Universitaria,4,4,5,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Homicidio,No,Sí,Sí,No confía en los partidos políticos,2. Fácil,4. Interesado/a,1. Nada representado,5. Muy simple,10. Muy probable,5,7,No se mostró ninguna foto,Sí,Insatisfecho,Poca confianza,Poco capacitados,2,Sí,Sí,Nada seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,7,by_c,bb_t,Q18,em_c,ac_t1,man_t
